"","Country","Year","Female_labor_force_participation_rate","Fertility_rate"
"2","Afghanistan",1979,6.83,7.449
"3","Afghanistan",2008,43.79,6.373
"4","Afghanistan",2012,16.01,5.562
"5","Afghanistan",2014,25.78,5.163
"6","Afghanistan",2017,21.17,4.633
"7","Afghanistan",2020,16.5,4.176
"521","Albania",1960,36.35,6.489
"522","Albania",1989,46.76,3.046
"523","Albania",1990,45.22,2.978
"524","Albania",1991,44.52,2.905
"525","Albania",1992,44.18,2.829
"526","Albania",1993,36.54,2.751
"527","Albania",1995,32.54,2.591
"528","Albania",1996,30.74,2.507
"529","Albania",1997,43.6,2.422
"530","Albania",1998,44.1,2.334
"531","Albania",1999,43.4,2.246
"532","Albania",2000,44.3,2.157
"533","Albania",2002,49.28,1.981
"534","Albania",2003,27.17,1.897
"535","Albania",2004,27.28,1.821
"536","Albania",2005,27.3,1.755
"537","Albania",2006,27.31,1.704
"538","Albania",2007,36.73,1.671
"539","Albania",2008,45.66,1.654
"540","Albania",2009,46.13,1.652
"541","Albania",2010,46.86,1.66
"542","Albania",2011,52.49,1.673
"543","Albania",2012,48.84,1.684
"544","Albania",2013,43.94,1.69
"545","Albania",2014,43.98,1.688
"546","Albania",2015,47.04,1.677
"547","Albania",2016,49.73,1.659
"548","Albania",2017,49.57,1.638
"549","Albania",2018,51.32,1.617
"550","Albania",2019,52.87,1.597
"780","Algeria",1966,2.91,7.676
"781","Algeria",1975,3.29,7.434
"782","Algeria",1977,3.79,7.234
"783","Algeria",1983,2.44,6.237
"784","Algeria",1984,5.93,6.038
"785","Algeria",1985,8.53,5.835
"786","Algeria",1987,7.78,5.412
"787","Algeria",1996,11.82,3.208
"788","Algeria",1997,7.37,2.988
"789","Algeria",2000,6.65,2.514
"790","Algeria",2009,13.95,2.799
"791","Algeria",2010,14.16,2.86
"792","Algeria",2012,15.8,2.952
"793","Algeria",2013,16.6,2.99
"794","Algeria",2014,15.58,3.022
"795","Algeria",2015,16.3,3.043
"796","Algeria",2016,16.94,3.052
"797","Algeria",2017,13.46,3.045
"1039","American Samoa",1960,42.51,NA
"1040","American Samoa",1970,14.57,NA
"1041","American Samoa",1974,38.27,NA
"1042","American Samoa",1980,34.01,NA
"1043","American Samoa",1990,42.37,NA
"1412","Angola",1960,7.6,6.708
"1413","Angola",2004,62.68,6.499
"1414","Angola",2009,60.92,6.26
"1415","Angola",2010,75.66,6.194
"1416","Angola",2011,74.91,6.12
"1417","Angola",2014,37.02,5.864
"1793","Antigua and Barbuda",1960,23.4,4.425
"1794","Antigua and Barbuda",1970,43.98,3.683
"1795","Antigua and Barbuda",1991,59.92,2.075
"1796","Antigua and Barbuda",2001,66.24,2.187
"2052","Arab World",2007,20.6177133050159,NA
"2053","Arab World",2008,22.013745726372,NA
"2054","Arab World",2009,19.6579321085085,NA
"2055","Arab World",2012,20.6324685156071,NA
"2056","Arab World",2014,19.1111239794086,NA
"2057","Arab World",2016,22.4068750830221,NA
"2058","Argentina",1960,23.23,3.109
"2059","Argentina",1970,26.49,3.079
"2060","Argentina",1977,29,3.359
"2061","Argentina",1978,29.39,3.359
"2062","Argentina",1979,29.74,3.339
"2063","Argentina",1980,27.36,3.301
"2064","Argentina",1983,27.85,3.159
"2065","Argentina",1985,28.04,3.095
"2066","Argentina",1987,28.18,3.059
"2067","Argentina",1989,29.07,3.022
"2068","Argentina",1990,29.11,2.997
"2069","Argentina",1991,39.6,2.965
"2070","Argentina",1992,35.2,2.925
"2071","Argentina",1993,37.9,2.879
"2072","Argentina",1994,36.8,2.828
"2073","Argentina",1995,41.33,2.773
"2074","Argentina",1996,44.5,2.718
"2075","Argentina",1997,44.5,2.666
"2076","Argentina",1998,45.5,2.618
"2077","Argentina",1999,46.8,2.577
"2078","Argentina",2000,44.11,2.542
"2079","Argentina",2001,43.2,2.512
"2080","Argentina",2002,45.6,2.486
"2081","Argentina",2003,48.97,2.461
"2082","Argentina",2004,50.31,2.438
"2083","Argentina",2005,49.48,2.416
"2084","Argentina",2006,50.1,2.397
"2085","Argentina",2007,48.9,2.38
"2086","Argentina",2008,48.42,2.366
"2087","Argentina",2009,49.13,2.355
"2088","Argentina",2010,48.05,2.346
"2089","Argentina",2011,48.24,2.338
"2090","Argentina",2012,48.38,2.33
"2091","Argentina",2013,47.96,2.322
"2092","Argentina",2014,47.71,2.312
"2093","Argentina",2017,48.01,2.275
"2094","Argentina",2018,49.52,2.261
"2095","Argentina",2019,50.3,2.247
"2317","Armenia",1997,54.32,1.832
"2318","Armenia",2000,35.28,1.648
"2319","Armenia",2007,42.37,1.702
"2320","Armenia",2008,48.61,1.712
"2321","Armenia",2009,51,1.719
"2322","Armenia",2010,52.2,1.722
"2323","Armenia",2011,51.18,1.724
"2324","Armenia",2012,49.7,1.725
"2325","Armenia",2013,51.29,1.728
"2326","Armenia",2014,55.17,1.732
"2327","Armenia",2015,54.17,1.738
"2328","Armenia",2016,52.37,1.744
"2329","Armenia",2017,52.76,1.75
"2330","Armenia",2018,47.59,1.755
"2331","Armenia",2019,49.43,1.758
"2576","Aruba",1960,25.73,4.82
"2577","Aruba",1972,30.97,2.691
"2578","Aruba",1981,40.09,2.377
"2579","Aruba",1991,50.7,2.221
"2580","Aruba",2000,56.11,1.872
"2581","Aruba",2007,59.45,1.76
"2582","Aruba",2010,59.52,1.768
"2583","Aruba",2011,58.8,1.779
"3012","Australia",1961,28.86,3.353
"3013","Australia",1966,35.17,3.011
"3014","Australia",1971,37.13,2.636
"3015","Australia",1976,43.82,2.142
"3016","Australia",1979,43.58,1.941
"3017","Australia",1980,44.77,1.912
"3018","Australia",1981,44.75,1.898
"3019","Australia",1982,44.64,1.891
"3020","Australia",1983,44.66,1.887
"3021","Australia",1984,45.3,1.883
"3022","Australia",1985,46.28,1.877
"3023","Australia",1986,48.29,1.87
"3024","Australia",1987,48.94,1.865
"3025","Australia",1988,49.86,1.863
"3026","Australia",1989,51.23,1.863
"3027","Australia",1990,52.25,1.863
"3028","Australia",1991,51.98,1.861
"3029","Australia",1992,51.94,1.857
"3030","Australia",1993,51.7,1.85
"3031","Australia",1994,52.6,1.839
"3032","Australia",1995,53.6,1.825
"3033","Australia",1996,53.79,1.809
"3034","Australia",1997,53.58,1.793
"3035","Australia",1998,53.64,1.778
"3036","Australia",1999,53.63,1.767
"3037","Australia",2000,54.51,1.762
"3038","Australia",2001,55.05,1.766
"3039","Australia",2002,55.24,1.781
"3040","Australia",2003,55.91,1.804
"3041","Australia",2004,55.69,1.834
"3042","Australia",2005,56.97,1.867
"3043","Australia",2006,57.52,1.898
"3044","Australia",2007,58.07,1.923
"3045","Australia",2008,58.55,1.938
"3046","Australia",2009,58.75,1.942
"3047","Australia",2010,58.61,1.936
"3048","Australia",2011,58.86,1.922
"3049","Australia",2012,58.77,1.905
"3050","Australia",2013,58.68,1.887
"3051","Australia",2014,58.65,1.871
"3052","Australia",2015,59.11,1.858
"3053","Australia",2016,59.34,1.846
"3054","Australia",2017,59.85,1.836
"3055","Australia",2018,60.49,1.825
"3056","Australia",2019,60.96,1.815
"3057","Australia",2020,60.22,1.806
"3342","Austria",1961,44.77,2.759
"3343","Austria",1971,39.2,2.207
"3344","Austria",1980,37.36,1.604
"3345","Austria",1981,42.43,1.591
"3346","Austria",1982,39.15,1.577
"3347","Austria",1983,39.12,1.56
"3348","Austria",1984,40.59,1.538
"3349","Austria",1985,40.11,1.514
"3350","Austria",1986,40.56,1.491
"3351","Austria",1987,41.45,1.473
"3352","Austria",1988,41.77,1.463
"3353","Austria",1989,42.12,1.46
"3354","Austria",1990,43.03,1.462
"3355","Austria",1991,43.53,1.466
"3356","Austria",1992,44.83,1.467
"3357","Austria",1993,45.3,1.463
"3358","Austria",1994,48.65,1.453
"3359","Austria",1995,49.38,1.438
"3360","Austria",1996,48.82,1.421
"3361","Austria",1997,48.72,1.404
"3362","Austria",1998,49.34,1.39
"3363","Austria",1999,49.52,1.381
"3364","Austria",2000,49.42,1.375
"3365","Austria",2001,49.37,1.374
"3366","Austria",2002,50.66,1.375
"3367","Austria",2003,50.8,1.377
"3368","Austria",2004,50.02,1.381
"3369","Austria",2005,51.3,1.385
"3370","Austria",2006,51.99,1.389
"3371","Austria",2007,52.85,1.395
"3372","Austria",2008,53.39,1.402
"3373","Austria",2009,54.05,1.41
"3374","Austria",2010,54.16,1.419
"3375","Austria",2011,54.51,1.431
"3376","Austria",2012,55,1.444
"3377","Austria",2013,55.29,1.458
"3378","Austria",2014,55.31,1.474
"3379","Austria",2015,55.36,1.49
"3380","Austria",2016,55.91,1.505
"3381","Austria",2017,55.91,1.52
"3382","Austria",2018,55.91,1.533
"3383","Austria",2019,56,1.544
"3384","Austria",2020,55.64,1.554
"3602","Azerbaijan",1989,48.26,3.14
"3603","Azerbaijan",1993,46.82,2.823
"3604","Azerbaijan",1996,43.64,2.45
"3605","Azerbaijan",1997,44.68,2.326
"3606","Azerbaijan",1998,44.23,2.213
"3607","Azerbaijan",1999,57.16,2.114
"3608","Azerbaijan",2000,72.7,2.031
"3609","Azerbaijan",2001,70.7,1.964
"3610","Azerbaijan",2002,68.8,1.91
"3611","Azerbaijan",2003,67,1.867
"3612","Azerbaijan",2004,65.4,1.836
"3613","Azerbaijan",2005,64.1,1.818
"3614","Azerbaijan",2006,62.5,1.817
"3615","Azerbaijan",2007,62.06,1.832
"3616","Azerbaijan",2008,61.9,1.863
"3617","Azerbaijan",2009,61.78,1.906
"3618","Azerbaijan",2010,61.96,1.954
"3619","Azerbaijan",2011,61.47,2.004
"3620","Azerbaijan",2012,61.4,2.048
"3621","Azerbaijan",2013,61.4,2.082
"3622","Azerbaijan",2014,62,2.104
"3623","Azerbaijan",2015,62.4,2.113
"3624","Azerbaijan",2016,62.8,2.109
"3625","Azerbaijan",2017,62.9,2.097
"3626","Azerbaijan",2018,63.1,2.082
"3627","Azerbaijan",2019,63.3,2.063
"3862","Bahamas",1963,52.86,4.357
"3863","Bahamas",1970,57,3.536
"3864","Bahamas",1979,32.75,2.987
"3865","Bahamas",1980,57.51,2.986
"3866","Bahamas",1989,47.07,2.655
"3867","Bahamas",1990,64.55,2.64
"3868","Bahamas",1991,68.5,2.633
"3869","Bahamas",1992,69.9,2.623
"3870","Bahamas",1993,69.5,2.602
"3871","Bahamas",1994,66.99,2.568
"3872","Bahamas",1995,69.5,2.515
"3873","Bahamas",1996,68.2,2.444
"3874","Bahamas",1997,70.5,2.358
"3875","Bahamas",1998,65.86,2.264
"3876","Bahamas",1999,70.9,2.166
"3877","Bahamas",2001,71.1,1.993
"3878","Bahamas",2002,71.9,1.931
"3879","Bahamas",2009,69.1,1.877
"3880","Bahamas",2011,69.99,1.847
"3881","Bahamas",2012,69.07,1.828
"3882","Bahamas",2013,69.8,1.81
"4120","Bahrain",1965,2.44,7.162
"4121","Bahrain",1971,6.2,6.297
"4122","Bahrain",1979,8.62,5.036
"4123","Bahrain",1981,18.24,4.8
"4124","Bahrain",1985,17.17,4.36
"4125","Bahrain",1987,17.84,4.124
"4126","Bahrain",1990,28,3.732
"4127","Bahrain",1991,29.24,3.599
"4128","Bahrain",1992,29.7,3.471
"4129","Bahrain",1993,30.4,3.352
"4130","Bahrain",1994,31.1,3.244
"4131","Bahrain",1995,31.7,3.147
"4132","Bahrain",1996,32.4,3.062
"4133","Bahrain",1997,33.1,2.987
"4134","Bahrain",1998,33.7,2.919
"4135","Bahrain",1999,34.4,2.856
"4136","Bahrain",2000,35.1,2.795
"4137","Bahrain",2001,35.51,2.731
"4138","Bahrain",2002,36.4,2.663
"4139","Bahrain",2003,37.1,2.59
"4140","Bahrain",2004,37.2,2.514
"4141","Bahrain",2005,26.38,2.436
"4142","Bahrain",2006,39.13,2.363
"4143","Bahrain",2010,43.68,2.164
"4144","Bahrain",2011,42.54,2.139
"4145","Bahrain",2015,43.54,2.056
"4379","Bangladesh",1961,18.15,6.761
"4380","Bangladesh",1974,3.43,6.869
"4381","Bangladesh",1981,4.48,6.217
"4382","Bangladesh",1984,7.94,5.698
"4383","Bangladesh",1985,8.33,5.501
"4384","Bangladesh",1986,9.72,5.298
"4385","Bangladesh",1989,67.39,4.686
"4386","Bangladesh",1991,62.57,4.315
"4387","Bangladesh",1996,55.86,3.591
"4388","Bangladesh",2000,55.87,3.169
"4389","Bangladesh",2003,26.07,2.876
"4390","Bangladesh",2006,28.99,2.604
"4391","Bangladesh",2010,35.49,2.324
"4392","Bangladesh",2013,33.56,2.188
"4393","Bangladesh",2016,33.19,2.09
"4394","Bangladesh",2017,36.35,2.062
"4638","Barbados",1960,30.52,4.333
"4639","Barbados",1966,29.81,3.807
"4640","Barbados",1970,44.72,3.113
"4641","Barbados",1978,35.59,2.121
"4642","Barbados",1980,52.46,2.004
"4643","Barbados",1983,54.55,1.889
"4644","Barbados",1986,57.6,1.805
"4645","Barbados",1987,58.4,1.782
"4646","Barbados",1988,60.77,1.765
"4647","Barbados",1989,61.27,1.75
"4648","Barbados",1990,60.18,1.74
"4649","Barbados",1991,58.21,1.733
"4650","Barbados",1992,59.27,1.728
"4651","Barbados",1994,60.99,1.725
"4652","Barbados",1995,62.78,1.727
"4653","Barbados",1996,61.45,1.732
"4654","Barbados",1997,62.22,1.74
"4655","Barbados",1998,62.0299987792969,1.75
"4656","Barbados",1999,61.5200004577637,1.762
"4657","Barbados",2001,63.7900009155273,1.785
"4658","Barbados",2002,62.7700004577637,1.793
"4659","Barbados",2003,63.93,1.797
"4660","Barbados",2004,64.38,1.795
"4661","Barbados",2005,64.4700012207031,1.788
"4662","Barbados",2006,62.7799987792969,1.775
"4663","Barbados",2007,61.9500007629395,1.757
"4664","Barbados",2008,62.5200004577637,1.735
"4665","Barbados",2009,62.14,1.711
"4666","Barbados",2010,61.9,1.687
"4667","Barbados",2011,63.04,1.665
"4668","Barbados",2012,61.04,1.645
"4669","Barbados",2013,62,1.63
"4670","Barbados",2014,60.53,1.62
"4671","Barbados",2015,60.81,1.614
"4672","Barbados",2016,61.87,1.613
"4673","Barbados",2017,60.51,1.615
"4674","Barbados",2018,59.47,1.619
"4675","Barbados",2019,59.03,1.623
"4890","Belarus",1970,46.62,2.254
"4891","Belarus",1989,61.31,1.974
"4892","Belarus",1997,46,1.34
"4893","Belarus",1999,52.74,1.26
"4894","Belarus",2006,53.3,1.37
"4895","Belarus",2007,53.55,1.415
"4896","Belarus",2008,54.92,1.463
"4897","Belarus",2009,55.2,1.51
"4898","Belarus",2015,85.5,1.693
"4899","Belarus",2016,66.9,1.704
"4900","Belarus",2017,67.1,1.712
"4901","Belarus",2018,66.2,1.718
"4902","Belarus",2019,66.3,1.722
"5149","Belgium",1961,25.53,2.624
"5150","Belgium",1970,28.13,2.206
"5151","Belgium",1977,28.74,1.731
"5152","Belgium",1979,30.21,1.655
"5153","Belgium",1980,30.68,1.629
"5154","Belgium",1981,28.49,1.609
"5155","Belgium",1983,36.29,1.582
"5156","Belgium",1984,36.07,1.572
"5157","Belgium",1985,36.46,1.565
"5158","Belgium",1986,36.94,1.562
"5159","Belgium",1987,36.56,1.562
"5160","Belgium",1988,36.45,1.567
"5161","Belgium",1989,36.21,1.574
"5162","Belgium",1990,36.55,1.583
"5163","Belgium",1991,38.01,1.592
"5164","Belgium",1992,38.9,1.599
"5165","Belgium",1993,39.58,1.603
"5166","Belgium",1994,40.16,1.605
"5167","Belgium",1995,40.53,1.605
"5168","Belgium",1996,40.56,1.605
"5169","Belgium",1997,41.01,1.607
"5170","Belgium",1998,41.66,1.611
"5171","Belgium",1999,43.17,1.62
"5172","Belgium",2000,43.65,1.633
"5173","Belgium",2001,41.87,1.653
"5174","Belgium",2002,42.57,1.677
"5175","Belgium",2003,42.95,1.704
"5176","Belgium",2004,44.25,1.733
"5177","Belgium",2005,45.69,1.761
"5178","Belgium",2006,45.82,1.786
"5179","Belgium",2007,46.53,1.804
"5180","Belgium",2008,46.91,1.816
"5181","Belgium",2009,46.95,1.82
"5182","Belgium",2010,47.71,1.816
"5183","Belgium",2011,47.03,1.806
"5184","Belgium",2012,47.1,1.792
"5185","Belgium",2013,47.77,1.775
"5186","Belgium",2014,48.08,1.759
"5187","Belgium",2015,48.01,1.744
"5188","Belgium",2016,47.78,1.732
"5189","Belgium",2017,48.72,1.723
"5190","Belgium",2018,49.52,1.718
"5191","Belgium",2019,49.83,1.715
"5192","Belgium",2020,49.34,1.716
"5408","Belize",1960,18.77,6.5
"5409","Belize",1970,10.35,6.299
"5410","Belize",1994,34.84,4.201
"5411","Belize",1996,21,4.01
"5412","Belize",1997,38.6,3.908
"5413","Belize",1998,39.6,3.805
"5414","Belize",1999,39.6,3.703
"5415","Belize",2005,27.8,3.077
"5416","Belize",2012,53.67,2.588
"5417","Belize",2013,46.54,2.539
"5418","Belize",2014,47.49,2.489
"5419","Belize",2015,47.93,2.439
"5420","Belize",2016,49.21,2.391
"5421","Belize",2017,48.81,2.346
"5422","Belize",2019,57.19,2.274
"5667","Benin",1961,52.45,6.339
"5668","Benin",1975,70.1,6.929
"5669","Benin",1977,42.86,6.984
"5670","Benin",1979,38.72,7.018
"5671","Benin",1986,38.89,6.942
"5672","Benin",1992,57.55,6.603
"5673","Benin",1996,61.43,6.282
"5674","Benin",2001,68.7,5.889
"5675","Benin",2002,65.6,5.82
"5676","Benin",2003,78.3,5.754
"5677","Benin",2010,74.64,5.362
"5678","Benin",2011,69.7,5.305
"5926","Bermuda",1970,59.79,NA
"5927","Bermuda",1976,65.75,NA
"5928","Bermuda",1980,67.03,NA
"5929","Bermuda",1991,67.9,NA
"5930","Bermuda",2000,67.93,NA
"5931","Bermuda",2009,79,NA
"5932","Bermuda",2010,81,NA
"5998","Bhutan",2005,47.7,2.788
"5999","Bhutan",2006,55.8,2.679
"6000","Bhutan",2009,66.04,2.387
"6001","Bhutan",2010,63.87,2.301
"6002","Bhutan",2011,62.84,2.224
"6003","Bhutan",2012,63.23,2.159
"6004","Bhutan",2013,58.9,2.107
"6005","Bhutan",2014,54.84,2.067
"6006","Bhutan",2015,55.94,2.037
"6257","Bolivia",1976,22.24,5.732
"6258","Bolivia",1980,23.04,5.474
"6259","Bolivia",1981,23.18,5.408
"6260","Bolivia",1982,23.16,5.346
"6261","Bolivia",1985,23.43,5.189
"6262","Bolivia",1986,23.75,5.139
"6263","Bolivia",1987,24.04,5.087
"6264","Bolivia",1989,44.37,4.963
"6265","Bolivia",1990,24.32,4.89
"6266","Bolivia",1991,41.03,4.81
"6267","Bolivia",1992,46.94,4.726
"6268","Bolivia",1993,43.2,4.64
"6269","Bolivia",1994,44.4,4.553
"6270","Bolivia",1995,52.81,4.466
"6271","Bolivia",1996,56.3,4.381
"6272","Bolivia",1997,59.76,4.297
"6273","Bolivia",1999,61.86,4.133
"6274","Bolivia",2000,59.61,4.051
"6275","Bolivia",2001,60.2,3.969
"6276","Bolivia",2002,61.8,3.885
"6277","Bolivia",2003,63.9,3.798
"6278","Bolivia",2004,63.9,3.71
"6279","Bolivia",2005,60.52,3.621
"6280","Bolivia",2006,63.66,3.533
"6281","Bolivia",2007,43.55,3.447
"6282","Bolivia",2008,62.43,3.364
"6283","Bolivia",2009,62.88,3.287
"6284","Bolivia",2011,62.11,3.143
"6285","Bolivia",2012,58.09,3.076
"6286","Bolivia",2013,59.15,3.01
"6287","Bolivia",2014,61.43,2.947
"6288","Bolivia",2015,54.86,2.886
"6289","Bolivia",2016,57.12,2.829
"6290","Bolivia",2017,59.34,2.777
"6291","Bolivia",2018,63.79,2.73
"6292","Bolivia",2019,61.01,2.688
"6293","Bolivia",2020,59.63,2.651
"6588","Bosnia and Herzegovina",2006,30.63,1.288
"6589","Bosnia and Herzegovina",2007,30.77,1.295
"6590","Bosnia and Herzegovina",2008,31.43,1.303
"6591","Bosnia and Herzegovina",2009,31.77,1.311
"6592","Bosnia and Herzegovina",2010,33.01,1.315
"6593","Bosnia and Herzegovina",2011,32.65,1.315
"6594","Bosnia and Herzegovina",2012,32.47,1.313
"6595","Bosnia and Herzegovina",2013,32.32,1.309
"6596","Bosnia and Herzegovina",2014,32.94,1.303
"6597","Bosnia and Herzegovina",2015,33.42,1.296
"6598","Bosnia and Herzegovina",2016,32.06,1.286
"6599","Bosnia and Herzegovina",2017,32.28,1.276
"6600","Bosnia and Herzegovina",2018,31.37,1.265
"6601","Bosnia and Herzegovina",2019,32.78,1.254
"6602","Bosnia and Herzegovina",2020,36.71,1.243
"6847","Botswana",1964,44.94,6.681
"6848","Botswana",1971,49.32,6.615
"6849","Botswana",1981,44.7,6.115
"6850","Botswana",1985,64.17,5.454
"6851","Botswana",1991,41.68,4.33
"6852","Botswana",1994,50.5,3.904
"6853","Botswana",1996,45.71,3.654
"6854","Botswana",1998,47.67,3.452
"6855","Botswana",2000,48.54,3.304
"6856","Botswana",2001,46.17,3.248
"6857","Botswana",2006,52.73,3.066
"6858","Botswana",2009,55.76,3.026
"6859","Botswana",2010,52.87,3.022
"6860","Botswana",2013,63.22,3.002
"6861","Botswana",2019,56.54,2.836
"7107","Brazil",1960,18.45,6.061
"7108","Brazil",1970,21.14,4.972
"7109","Brazil",1973,37.17,4.6
"7110","Brazil",1980,30.06,4.037
"7111","Brazil",1985,41.09,3.471
"7112","Brazil",1986,41.14,3.342
"7113","Brazil",1987,43.17,3.217
"7114","Brazil",1988,43.34,3.101
"7115","Brazil",1989,43.39,2.995
"7116","Brazil",1990,44.02,2.902
"7117","Brazil",1991,44.02,2.822
"7118","Brazil",1992,52.61,2.754
"7119","Brazil",1993,52.53,2.693
"7120","Brazil",1995,49.02,2.588
"7121","Brazil",1996,47.8,2.536
"7122","Brazil",1997,48.7,2.483
"7123","Brazil",1998,49.49,2.426
"7124","Brazil",1999,50.65,2.365
"7125","Brazil",2001,53.4,2.232
"7126","Brazil",2002,54.74,2.163
"7127","Brazil",2003,54.97,2.097
"7128","Brazil",2004,56.06,2.033
"7129","Brazil",2005,57.13,1.976
"7130","Brazil",2006,56.9,1.925
"7131","Brazil",2007,56.67,1.882
"7132","Brazil",2008,56.38,1.847
"7133","Brazil",2009,56.85,1.818
"7134","Brazil",2011,54.06,1.781
"7135","Brazil",2012,51.66,1.771
"7136","Brazil",2013,51.52,1.764
"7137","Brazil",2014,51.46,1.758
"7138","Brazil",2015,51.93,1.753
"7139","Brazil",2016,51.88,1.747
"7140","Brazil",2017,52.8,1.739
"7141","Brazil",2018,52.95,1.73
"7142","Brazil",2019,53.63,1.719
"7143","Brazil",2020,47.99,1.706
"7367","British Virgin Islands",1960,10.25,NA
"7368","British Virgin Islands",1970,41.9,NA
"7369","British Virgin Islands",1980,58.23,NA
"7370","British Virgin Islands",1991,68.63,NA
"7371","British Virgin Islands",1994,60.33,NA
"7439","Brunei",1960,20.07,6.836
"7440","Brunei",1971,19.99,5.619
"7441","Brunei",1978,19.84,4.389
"7442","Brunei",1981,31.3,3.943
"7443","Brunei",1986,38.73,3.546
"7444","Brunei",1991,46.44,3.206
"7445","Brunei",2001,56.43,2.284
"7446","Brunei",2011,56.4,1.957
"7447","Brunei",2014,58.36,1.969
"7448","Brunei",2017,56.49,1.881
"7449","Brunei",2018,57.31,1.848
"7450","Brunei",2019,54.91,1.819
"7698","Bulgaria",1965,59.47,2.165
"7699","Bulgaria",1975,60.64,2.19
"7700","Bulgaria",1992,53.82,1.597
"7701","Bulgaria",1997,46.9,1.229
"7702","Bulgaria",2000,44.66,1.18
"7703","Bulgaria",2001,46.44,1.2
"7704","Bulgaria",2002,46.04,1.235
"7705","Bulgaria",2003,44.78,1.281
"7706","Bulgaria",2004,45.44,1.334
"7707","Bulgaria",2005,44.4,1.388
"7708","Bulgaria",2006,46.35,1.437
"7709","Bulgaria",2007,47.46,1.478
"7710","Bulgaria",2008,48.32,1.508
"7711","Bulgaria",2009,47.52,1.526
"7712","Bulgaria",2010,47.77,1.534
"7713","Bulgaria",2011,47.2,1.534
"7714","Bulgaria",2012,47.83,1.531
"7715","Bulgaria",2013,48.56,1.529
"7716","Bulgaria",2014,48.62,1.529
"7717","Bulgaria",2015,48.56,1.534
"7718","Bulgaria",2016,47.66,1.542
"7719","Bulgaria",2017,49.52,1.552
"7720","Bulgaria",2018,49.22,1.563
"7721","Bulgaria",2019,50.29,1.574
"7722","Bulgaria",2020,49.2,1.585
"7957","Burkina Faso",1975,3.06,6.859
"7958","Burkina Faso",1985,75.2,7.142
"7959","Burkina Faso",1991,79.39,6.979
"7960","Burkina Faso",1994,73.4,6.882
"7961","Burkina Faso",2005,85.6,6.265
"7962","Burkina Faso",2006,61.1,6.192
"7963","Burkina Faso",2007,85,6.116
"7964","Burkina Faso",2014,58.22,5.521
"7965","Burkina Faso",2018,37.95,5.189
"8216","Burundi",1978,42.13,7.388
"8217","Burundi",1979,93.13,7.394
"8218","Burundi",1980,40.97,7.395
"8219","Burundi",1982,62.18,7.399
"8220","Burundi",1984,62.17,7.418
"8221","Burundi",1986,87.02,7.443
"8222","Burundi",1990,90.55,7.405
"8223","Burundi",1998,86.04,7.03
"8224","Burundi",2008,70.15,6.352
"8225","Burundi",2014,79.83,5.797
"8475","Cambodia",1962,58.17,6.955
"8476","Cambodia",1993,90.07,5.052
"8477","Cambodia",1996,65.1,4.504
"8478","Cambodia",1998,73.49,4.146
"8479","Cambodia",1999,77.47,3.971
"8480","Cambodia",2000,76.51,3.805
"8481","Cambodia",2001,81.88,3.654
"8482","Cambodia",2004,75.5,3.309
"8483","Cambodia",2007,74.72,3.086
"8484","Cambodia",2009,77.38,2.947
"8485","Cambodia",2010,81.28,2.875
"8486","Cambodia",2011,81.84,2.804
"8487","Cambodia",2012,61.43,2.739
"8488","Cambodia",2013,74.45,2.682
"8489","Cambodia",2014,74.35,2.633
"8490","Cambodia",2015,73.42,2.593
"8491","Cambodia",2016,75.91,2.559
"8492","Cambodia",2017,76.41,2.53
"8734","Cameroon",1976,48.26,6.448
"8735","Cameroon",1980,54.67,6.625
"8736","Cameroon",1982,48.21,6.688
"8737","Cameroon",1985,49.72,6.695
"8738","Cameroon",1987,30.34,6.626
"8739","Cameroon",1996,61.5,5.886
"8740","Cameroon",2001,65.5,5.524
"8741","Cameroon",2005,68.3,5.35
"8742","Cameroon",2007,79.5,5.266
"8743","Cameroon",2010,70.66,5.111
"8744","Cameroon",2014,67.19,4.847
"8993","Canada",1961,29.71,3.809
"8994","Canada",1971,39.91,2.112
"8995","Canada",1976,45.7,1.769
"8996","Canada",1977,46.53,1.735
"8997","Canada",1978,47.94,1.708
"8998","Canada",1979,49.38,1.685
"8999","Canada",1980,50.6,1.665
"9000","Canada",1981,52.02,1.648
"9001","Canada",1982,52.13,1.634
"9002","Canada",1983,52.97,1.623
"9003","Canada",1984,53.77,1.615
"9004","Canada",1985,54.93,1.612
"9005","Canada",1986,55.72,1.613
"9006","Canada",1987,56.46,1.621
"9007","Canada",1988,57.42,1.633
"9008","Canada",1989,58.11,1.648
"9009","Canada",1990,58.5,1.663
"9010","Canada",1991,58.43,1.674
"9011","Canada",1992,57.84,1.677
"9012","Canada",1993,57.66,1.672
"9013","Canada",1994,57.52,1.658
"9014","Canada",1995,57.48,1.637
"9015","Canada",1996,57.47,1.61
"9016","Canada",1997,57.79,1.582
"9017","Canada",1998,58.38,1.556
"9018","Canada",1999,58.91,1.535
"9019","Canada",2000,59.4,1.521
"9020","Canada",2001,59.75,1.517
"9021","Canada",2002,60.91,1.522
"9022","Canada",2003,61.89,1.534
"9023","Canada",2004,61.99,1.553
"9024","Canada",2005,61.66,1.575
"9025","Canada",2006,61.88,1.597
"9026","Canada",2007,62.51,1.616
"9027","Canada",2008,62.55,1.629
"9028","Canada",2009,62.43,1.634
"9029","Canada",2010,62.41,1.633
"9030","Canada",2011,62.16,1.624
"9031","Canada",2012,62.13,1.611
